hidden_nodes,architecture,train_accuracy,val_accuracy,val_mean_precision,val_mean_recall,val_mean_f_measure,epochs_run,parameters
16-8,2-16-8-3,1.0000,1.0000,1.0000,1.0000,1.0000,300,211
32-16,2-32-16-3,1.0000,1.0000,1.0000,1.0000,1.0000,300,675
64-16,2-64-16-3,1.0000,1.0000,1.0000,1.0000,1.0000,300,1283
64-32,2-64-32-3,1.0000,1.0000,1.0000,1.0000,1.0000,300,2371
