hidden_nodes,architecture,n_hidden_layers,rmse_train,percent_rmse_train,rmse_val,percent_rmse_val,epochs_run,parameters
16,2-16-1,1,0.229235,1.120890,0.192415,0.923014,200,65
32,2-32-1,1,0.345188,1.687861,0.313142,1.502143,200,129
64,2-64-1,1,0.376522,1.841075,0.336149,1.612510,200,257
32-16,2-32-16-1,2,0.165879,0.811098,0.143210,0.686980,200,641
64-32,2-64-32-1,2,0.158709,0.776037,0.141636,0.679427,200,2305
